PATHWAY;FREQUENCY;GENES
ath00940;22;"1.14.14.91;1.14.14.96;1.2.1.44;1.2.1.68;2.1.1.104;2.1.1.68;2.3.1.133;2.4.1.111;4.3.1.24;6.2.1.12;BGL42;CHI4;PER12;R02381;R02595;R02952;R03075;R03365;R03367;R03604;R04006;R07443"
ath00052;22;"2.4.1.123;2.4.1.67;2.4.1.82;2.7.1.11;2.7.7.12;2.7.7.64;2.7.7.9;3.2.1.20;3.2.1.22;3.2.1.23;3.2.1.26;5.1.3.2;5.1.3.3;5.4.2.2;HXK1;R01096;R01097;R01098;R01788;R02927;R02928;R11623"
ath00061;19;"1.1.1.100;1.3.1.9;2.3.1.180;2.3.1.39;3.1.2.14;4.2.1.59;6.4.1.2;KASC2;LACS7;R04430;R04725;R04956;R04959;R04962;R04967;R04970;R07639;R07762;STAD7"
ath00750;19;"1.1.1.65;1.4.3.5;2.7.1.35;3.1.3.74;4.2.3.1;PDX13;R01580;R01649;R01707;R01711;R01712;R01713;R01910;R02992;R02993;R03385;R03461;R04524;R05839"
ath00941;18;"1.1.1.219;1.14.14.82;1.14.14.91;1.14.14.96;1.14.20.4;1.3.1.77;2.1.1.104;2.3.1.133;2.3.1.74;5.5.1.6;FLS1;R02897;R04901;R06551;R06610;R06820;R08081;R10260"
ath00220;18;"1.2.1.38;1.4.1.3;1.4.1.4;2.1.3.3;2.3.1.1;2.3.1.35;2.6.1.2;3.5.1.14;3.5.1.16;3.5.1.5;4.3.2.1;6.3.1.2;6.3.4.5;AAT3;ARGD;BAHL2;NOA1;R11711"
ath00440;18;"2.7.7.14;2.7.8.1;CCT1;R00318;R08200;R08862;R08863;R08864;R09478;R10185;R10186;R10191;R10204;R10722;R10724;R10972;R10973;R11708"
ath00100;17;"1.1.1.170;1.14.14.154;1.14.14.17;1.14.19.20;1.3.1.21;1.3.1.70;1.3.1.72;2.1.1.41;2.5.1.21;5.3.3.5;5.4.99.7;5.4.99.8;5.5.1.9;C7101;R01461;R01462;R02692"
ath00020;17;"1.1.1.41;1.2.4.2;1.3.5.1;1.8.1.4;2.3.1.12;2.3.1.61;2.3.3.1;2.3.3.8;4.2.1.2;6.2.1.4;CHSY;ICDHC;MDHM1;ODPB1;PCKA;R00361;R01197"
ath00130;17;"1.13.11.27;1.14.14.91;2.1.1.163;2.1.1.295;2.1.1.95;2.5.1.117;2.5.1.74;2.6.1.5;3.1.2.28;5.4.4.2;6.2.1.12;6.2.1.26;FQR1;HPT1;MENB;R01304;TOCC"
ath00670;17;"1.5.1.20;1.5.1.3;2.1.2.10;2.1.2.2;2.1.2.3;2.1.2.9;3.5.1.10;6.3.3.2;6.3.4.3;GLYM1;R00941;R00946;R01225;R01669;R02573;R02729;R06613"
ath00730;15;"2.2.1.7;2.4.2.60;2.7.1.49;2.7.1.50;2.7.4.3;2.8.1.7;3.1.3.100;3.6.1.15;4.1.99.17;R00617;R00618;R02135;R02863;R12026;TPK1"
ath00740;14;"2.5.1.78;2.7.1.26;2.7.7.2;3.1.3.102;3.1.3.104;3.1.3.2;3.5.4.26;4.1.99.12;R00550;R01732;R05706;R08574;R09748;R09750"
ath00660;13;"1.1.1.85;ILVB;R00008;R00325;R00932;R00934;R02243;R02244;R02404;R02491;R02948;R03154;R05076"
ath00300;13;"1.17.1.8;1.2.1.11;4.1.1.20;4.3.3.7;5.1.1.7;AK1;DAPAT;R02788;R03098;R04390;R04617;R04863;R10010"
ath00565;13;"2.7.8.1;3.1.4.3;PLDB1;R02745;R03109;R03415;R04126;R04363;R04452;R07388;R07389;R10804;R10805"
ath00590;12;"1.11.1.9;3.3.2.6;5.3.99.3;R01594;R01596;R02683;R02799;R03866;R04517;R07041;R07050;R07054"
ath00904;12;"1.14.11.12;1.14.11.13;1.14.11.15;1.14.14.107;1.14.14.86;4.2.3.19;5.5.1.13;R11820;R11848;R11851;R11869;R12123"
ath00290;11;"1.1.1.85;1.1.1.86;2.3.3.13;2.6.1.42;4.2.1.33;4.2.1.9;4.3.1.19;ILVB;R01090;R01215;R01434"
ath00062;11;"1.3.1.38;1.3.1.93;3.1.2.2;3.1.2.22;4.2.1.134;KCS2;R00385;R00391;R01778;R02685;R06985"
ath00232;11;"R07921;R07942;R07954;R07955;R07957;R07961;R07965;R07978;R07979;R07980;URIC"
ath00780;10;"1.1.1.100;2.8.1.6;4.2.1.59;6.3.3.3;6.3.4.9;BIOF;KASC2;R03762;R10123;R10699"
